image,person,bicycle,car,motorcycle,bus,truck,total_objects
image1.jpg,16,2,9,0,5,1,33
image10.jpg,4,0,1,0,0,1,6
image11.jpg,0,0,10,0,0,1,11
image12.jpg,3,1,8,0,0,0,12
image13.jpg,0,0,10,0,0,0,10
image14.jpg,14,4,3,0,0,0,21
image15.jpg,3,3,8,0,0,0,14
image16.jpg,11,3,2,0,0,1,17
image17.jpg,7,0,17,0,0,0,24
image18.jpg,3,0,10,0,0,0,13
image19.jpg,4,1,2,0,0,0,7
image2.jpg,9,7,11,0,0,0,27
image20.jpg,12,0,3,0,4,0,19
image21.jpg,5,0,1,0,0,0,6
image22.jpg,4,0,3,0,0,0,7
image23.jpg,4,0,1,0,0,0,5
image24.jpg,0,0,1,0,0,2,3
image25.jpg,0,0,4,0,0,7,11
image3.jpg,1,0,9,0,0,0,10
image4.jpg,11,2,3,0,1,0,17
image5.jpg,5,0,4,0,2,0,11
image6.jpg,9,0,8,0,0,0,17
image7.jpg,2,0,2,0,0,0,4
image9.jpg,3,0,3,0,0,0,6
