image,object_class,confidence,x1,y1,x2,y2
image1.jpg,car,0.9023,0.15,644.04,154.28,799.87
image1.jpg,bus,0.8879,69.54,370.5,256.85,486.66
image1.jpg,car,0.8787,0.41,468.5,126.59,568.08
image1.jpg,bus,0.8568,512.75,368.82,622.44,485.52
image1.jpg,car,0.8061,134.93,447.5,244.98,520.47
image1.jpg,person,0.802,380.39,530.23,446.5,708.0
image1.jpg,person,0.7876,672.58,515.5,731.14,698.89
image1.jpg,car,0.7719,311.23,446.02,408.6,514.3
image1.jpg,bus,0.7526,639.84,392.22,799.46,533.69
image1.jpg,person,0.7498,576.42,517.2,630.13,707.7
image1.jpg,car,0.7434,224.41,431.33,307.59,486.46
image1.jpg,person,0.7147,457.83,514.36,497.94,693.52
image1.jpg,person,0.7114,549.95,559.9,583.63,699.17
image1.jpg,bicycle,0.6981,138.03,543.94,203.24,628.45
image1.jpg,person,0.686,516.11,526.93,560.04,688.23
image1.jpg,person,0.632,144.12,498.06,203.8,601.12
image1.jpg,person,0.6067,722.38,502.4,767.58,712.94
image1.jpg,bicycle,0.5804,292.2,514.92,329.84,595.14
image1.jpg,person,0.5324,774.71,491.7,799.79,628.29
image1.jpg,person,0.5082,625.39,503.14,663.27,648.51
image1.jpg,car,0.5031,433.09,415.05,490.82,463.9
image1.jpg,person,0.4375,429.3,433.88,454.37,516.09
image1.jpg,truck,0.4107,271.82,365.28,370.07,464.72
image1.jpg,person,0.4077,657.39,493.19,695.25,644.31
image1.jpg,person,0.4037,285.77,480.07,338.8,568.52
image1.jpg,bus,0.3982,271.14,364.97,370.34,465.58
image1.jpg,person,0.3467,557.82,498.84,586.64,563.67
image1.jpg,bus,0.3436,399.04,360.28,459.67,426.88
image1.jpg,car,0.3414,471.53,410.39,505.51,444.36
image1.jpg,person,0.3238,657.39,504.03,689.36,646.06
image1.jpg,car,0.3084,380.65,428.35,454.94,481.67
image1.jpg,person,0.2962,518.02,492.81,562.28,564.43
image1.jpg,car,0.2918,433.09,413.58,502.71,464.22
image10.jpg,person,0.6404,251.57,206.8,276.9,267.64
image10.jpg,person,0.3606,185.0,210.35,196.99,237.95
image10.jpg,person,0.301,146.29,206.71,158.61,239.89
