image,persons,bicycles,cars,buses,trucks,total_vehicles,vulnerable_activity,mixed_traffic,exposure_score
image1.jpg,16,2,9,5,1,15,18,Yes,270
image2.jpg,9,7,11,0,0,11,16,Yes,176
image17.jpg,7,0,17,0,0,17,7,Yes,119
image20.jpg,12,0,3,4,0,7,12,Yes,84
image6.jpg,9,0,8,0,0,8,9,Yes,72
image14.jpg,14,4,3,0,0,3,18,Yes,54
image4.jpg,11,2,3,1,0,4,13,Yes,52
image15.jpg,3,3,8,0,0,8,6,Yes,48
image16.jpg,11,3,2,0,1,3,14,Yes,42
image12.jpg,3,1,8,0,0,8,4,Yes,32
image18.jpg,3,0,10,0,0,10,3,Yes,30
image5.jpg,5,0,4,2,0,6,5,Yes,30
image22.jpg,4,0,3,0,0,3,4,Yes,12
image19.jpg,4,1,2,0,0,2,5,Yes,10
image3.jpg,1,0,9,0,0,9,1,Yes,9
image9.jpg,3,0,3,0,0,3,3,Yes,9
image10.jpg,4,0,1,0,1,2,4,Yes,8
image21.jpg,5,0,1,0,0,1,5,Yes,5
image23.jpg,4,0,1,0,0,1,4,Yes,4
image7.jpg,2,0,2,0,0,2,2,Yes,4
image11.jpg,0,0,10,0,1,11,0,No,0
image13.jpg,0,0,10,0,0,10,0,No,0
image24.jpg,0,0,1,0,2,3,0,No,0
image25.jpg,0,0,4,0,7,11,0,No,0
